Nome;Link;Avaliacao;Quantidade de Avaliações;Parcelas;Preço Parcelado;Preço a Vista;Site;Data da Coleta
Smartphone Moto G54 5G 256GB 8GB RAM Azul - Vegan Leather  ;https://www.amazon.com.br/Smartphone-Moto-G54-256GB-Azul/dp/B0CGVWDFSQ/ref=cs_sr_dp_1?dib=eyJ2IjoiMSJ9.sr_Ma6vakUaO2nWx5dw64gspyNnjgqwKZjkYJgJuLjM5WkDhBaQEUMPhMXQErBQk7j1ob0OjNb_YqTfE3J3S50wsrRF2QQ_gGVfq0eu13m6wkYlBbDI71jNCQxVHgEuihjv7fWdDYGCJSMk3KQls3aShfHlgAYf3sWepQ_HX6YR-Qg0MUq-21wHt02Vzwhdxf6vO-3W8sSpswMZKmGm8Ih6p_YV7EbFl1N0-Z31TUVYAmswuv_E1p7KcyFbwi9bsTNjcizMBdlduUd6m_PoBkdg2GhsiCBIZGTiPDojojXo.oIoEn6aiNqnitl-q1XtncFv5mkF1dRESW12DzyvLi-k&dib_tag=se&keywords=smartphone&qid=1731972175&sr=8-11&ufe=app_do%3Aamzn1.fos.a492fd4a-f54d-4e8d-8c31-35e0a04ce61e;4,7;3.495;em até 12x de R$ 114,52 com juros;114,52;1227,0;Amazon;18/11/2024 20:23:40
"Smartphone Xiaomi POCO C65 6GB+128GB MediaTek Helio G85 Octa Core 5000mAh 6.74"" 90Hz HD+ display 50MP Camera NFC  ";https://www.amazon.com.br/Smartphone-Xiaomi-C65-MediaTek-5000mAh/dp/B0CMRV3KWB/ref=sr_1_12?dib=eyJ2IjoiMSJ9.sr_Ma6vakUaO2nWx5dw64gspyNnjgqwKZjkYJgJuLjM5WkDhBaQEUMPhMXQErBQk7j1ob0OjNb_YqTfE3J3S50wsrRF2QQ_gGVfq0eu13m6wkYlBbDI71jNCQxVHgEuihjv7fWdDYGCJSMk3KQls3aShfHlgAYf3sWepQ_HX6YR-Qg0MUq-21wHt02Vzwhdxf6vO-3W8sSpswMZKmGm8Ih6p_YV7EbFl1N0-Z31TUVYAmswuv_E1p7KcyFbwi9bsTNjcizMBdlduUd6m_PoBkdg2GhsiCBIZGTiPDojojXo.oIoEn6aiNqnitl-q1XtncFv5mkF1dRESW12DzyvLi-k&dib_tag=se&keywords=smartphone&qid=1731972175&sr=8-12&ufe=app_do%3Aamzn1.fos.a492fd4a-f54d-4e8d-8c31-35e0a04ce61e;4,5;669;em até 12x de R$ 75,78 com juros;75,78;812,0;Amazon;18/11/2024 20:23:40
"Smartfone Xiaomi POCO C65 com 8GB de RAM, 256GB de armazenamento, processador Helio G85 Octa Core, bateria de 5000mAh e tela de 6,74"" 90Hz HD.  ";https://www.amazon.com.br/Smartfone-Xiaomi-armazenamento-processador-bateria/dp/B0CNR4XBY7/ref=sr_1_13?dib=eyJ2IjoiMSJ9.sr_Ma6vakUaO2nWx5dw64gspyNnjgqwKZjkYJgJuLjM5WkDhBaQEUMPhMXQErBQk7j1ob0OjNb_YqTfE3J3S50wsrRF2QQ_gGVfq0eu13m6wkYlBbDI71jNCQxVHgEuihjv7fWdDYGCJSMk3KQls3aShfHlgAYf3sWepQ_HX6YR-Qg0MUq-21wHt02Vzwhdxf6vO-3W8sSpswMZKmGm8Ih6p_YV7EbFl1N0-Z31TUVYAmswuv_E1p7KcyFbwi9bsTNjcizMBdlduUd6m_PoBkdg2GhsiCBIZGTiPDojojXo.oIoEn6aiNqnitl-q1XtncFv5mkF1dRESW12DzyvLi-k&dib_tag=se&keywords=smartphone&qid=1731972175&sr=8-13&ufe=app_do%3Aamzn1.fos.a492fd4a-f54d-4e8d-8c31-35e0a04ce61e;4,6;616;em até 12x de R$ 84,46 com juros;84,46;905,0;Amazon;18/11/2024 20:23:40
Smartphone Xiaomi Redmi Note 13 Pro 4G 8+256 GB, MediaTek, Helio G99-Ultra, Câmera OIS de 200 MP, Carregamento Turbo 67W, Tela AMOLED 6,67 “, NFC, (Preto)  ;https://www.amazon.com.br/Smartphone-Xiaomi-MediaTek-G99-Ultra-Carregamento/dp/B0CQKCQ8PH/ref=sr_1_14?dib=eyJ2IjoiMSJ9.sr_Ma6vakUaO2nWx5dw64gspyNnjgqwKZjkYJgJuLjM5WkDhBaQEUMPhMXQErBQk7j1ob0OjNb_YqTfE3J3S50wsrRF2QQ_gGVfq0eu13m6wkYlBbDI71jNCQxVHgEuihjv7fWdDYGCJSMk3KQls3aShfHlgAYf3sWepQ_HX6YR-Qg0MUq-21wHt02Vzwhdxf6vO-3W8sSpswMZKmGm8Ih6p_YV7EbFl1N0-Z31TUVYAmswuv_E1p7KcyFbwi9bsTNjcizMBdlduUd6m_PoBkdg2GhsiCBIZGTiPDojojXo.oIoEn6aiNqnitl-q1XtncFv5mkF1dRESW12DzyvLi-k&dib_tag=se&keywords=smartphone&qid=1731972175&sr=8-14&ufe=app_do%3Aamzn1.fos.a492fd4a-f54d-4e8d-8c31-35e0a04ce61e;4,7;958;em até 12x de R$ 132,06 com juros;132,06;1415,0;Amazon;18/11/2024 20:23:40
Smartphone Xiaomi Redmi Note 13 8+256G Powerful Snapdragon® performance 120Hz FHD+ AMOLED display 33W fast charging with 5000mAh battery No NFC (Green)  ;https://www.amazon.com.br/Smartphone-Xiaomi-Powerful-Snapdragon%C2%AE-performance/dp/B0CT93F3T5/ref=sr_1_15?dib=eyJ2IjoiMSJ9.sr_Ma6vakUaO2nWx5dw64gspyNnjgqwKZjkYJgJuLjM5WkDhBaQEUMPhMXQErBQk7j1ob0OjNb_YqTfE3J3S50wsrRF2QQ_gGVfq0eu13m6wkYlBbDI71jNCQxVHgEuihjv7fWdDYGCJSMk3KQls3aShfHlgAYf3sWepQ_HX6YR-Qg0MUq-21wHt02Vzwhdxf6vO-3W8sSpswMZKmGm8Ih6p_YV7EbFl1N0-Z31TUVYAmswuv_E1p7KcyFbwi9bsTNjcizMBdlduUd6m_PoBkdg2GhsiCBIZGTiPDojojXo.oIoEn6aiNqnitl-q1XtncFv5mkF1dRESW12DzyvLi-k&dib_tag=se&keywords=smartphone&qid=1731972175&sr=8-15&ufe=app_do%3Aamzn1.fos.a492fd4a-f54d-4e8d-8c31-35e0a04ce61e;4,7;1.055;em até 12x de R$ 100,33 com juros;100,33;1075,0;Amazon;18/11/2024 20:23:40
Smartphone Xiaomi Redmi Note 13 8+256G Powerful Snapdragon® performance 120Hz FHD+ AMOLED display 33W fast charging with 5000mAh battery (Blue)  ;https://www.amazon.com.br/Smartphone-Xiaomi-Powerful-Snapdragon%C2%AE-performance/dp/B0CT922MHL/ref=sr_1_16?dib=eyJ2IjoiMSJ9.sr_Ma6vakUaO2nWx5dw64gspyNnjgqwKZjkYJgJuLjM5WkDhBaQEUMPhMXQErBQk7j1ob0OjNb_YqTfE3J3S50wsrRF2QQ_gGVfq0eu13m6wkYlBbDI71jNCQxVHgEuihjv7fWdDYGCJSMk3KQls3aShfHlgAYf3sWepQ_HX6YR-Qg0MUq-21wHt02Vzwhdxf6vO-3W8sSpswMZKmGm8Ih6p_YV7EbFl1N0-Z31TUVYAmswuv_E1p7KcyFbwi9bsTNjcizMBdlduUd6m_PoBkdg2GhsiCBIZGTiPDojojXo.oIoEn6aiNqnitl-q1XtncFv5mkF1dRESW12DzyvLi-k&dib_tag=se&keywords=smartphone&qid=1731972175&sr=8-16&ufe=app_do%3Aamzn1.fos.a492fd4a-f54d-4e8d-8c31-35e0a04ce61e;4,7;2.244;em até 12x de R$ 100,33 com juros;100,33;1075,0;Amazon;18/11/2024 20:23:40
"Smartphone Samsung Galaxy A06 128GB, 4GB RAM, Processador Octa-Core, Bateria de 5000mAh, Tela Infinita de 6.7"", Câmera Traseira Dupla, Dual Chip - Verde Claro  ";https://www.amazon.com.br/Smartphone-Processador-Octa-Core-Infinita-Traseira/dp/B0DGHQSDPT/ref=cs_sr_dp_1?dib=eyJ2IjoiMSJ9.sr_Ma6vakUaO2nWx5dw64gspyNnjgqwKZjkYJgJuLjM5WkDhBaQEUMPhMXQErBQk7j1ob0OjNb_YqTfE3J3S50wsrRF2QQ_gGVfq0eu13m6wkYlBbDI71jNCQxVHgEuihjv7fWdDYGCJSMk3KQls3aShfHlgAYf3sWepQ_HX6YR-Qg0MUq-21wHt02Vzwhdxf6vO-3W8sSpswMZKmGm8Ih6p_YV7EbFl1N0-Z31TUVYAmswuv_E1p7KcyFbwi9bsTNjcizMBdlduUd6m_PoBkdg2GhsiCBIZGTiPDojojXo.oIoEn6aiNqnitl-q1XtncFv5mkF1dRESW12DzyvLi-k&dib_tag=se&keywords=smartphone&qid=1731972175&sr=8-17&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751;5,0;1;em até 12x de R$ 66,95 sem juros;66,95;739,99;Amazon;18/11/2024 20:23:40
"Smartphone Xiaomi Redmi 13C 128GB Tela 6.74"" 4G Wi-Fi Dual Chip 4GB RAM Câmera Dupla + Selfie 8MP - Preto  ";https://www.amazon.com.br/Smartphone-Xiaomi-Redmi-C%C3%A2mera-Selfie/dp/B0CZS31P6D/ref=sr_1_18?dib=eyJ2IjoiMSJ9.sr_Ma6vakUaO2nWx5dw64gspyNnjgqwKZjkYJgJuLjM5WkDhBaQEUMPhMXQErBQk7j1ob0OjNb_YqTfE3J3S50wsrRF2QQ_gGVfq0eu13m6wkYlBbDI71jNCQxVHgEuihjv7fWdDYGCJSMk3KQls3aShfHlgAYf3sWepQ_HX6YR-Qg0MUq-21wHt02Vzwhdxf6vO-3W8sSpswMZKmGm8Ih6p_YV7EbFl1N0-Z31TUVYAmswuv_E1p7KcyFbwi9bsTNjcizMBdlduUd6m_PoBkdg2GhsiCBIZGTiPDojojXo.oIoEn6aiNqnitl-q1XtncFv5mkF1dRESW12DzyvLi-k&dib_tag=se&keywords=smartphone&qid=1731972175&sr=8-18&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147;4,4;276;em até 10x de R$ 78,80 sem juros;78,8;788,0;Amazon;18/11/2024 20:23:40
Smartphone Xiaomi Redmi Note 13, 8+256G modelo 23129RA5FL, verde  ;https://www.amazon.com.br/Smartphone-Xiaomi-Redmi-modelo-23129RA5FL/dp/B0CQYWG2T8/ref=sr_1_19_mod_primary_new?dib=eyJ2IjoiMSJ9.sr_Ma6vakUaO2nWx5dw64gspyNnjgqwKZjkYJgJuLjM5WkDhBaQEUMPhMXQErBQk7j1ob0OjNb_YqTfE3J3S50wsrRF2QQ_gGVfq0eu13m6wkYlBbDI71jNCQxVHgEuihjv7fWdDYGCJSMk3KQls3aShfHlgAYf3sWepQ_HX6YR-Qg0MUq-21wHt02Vzwhdxf6vO-3W8sSpswMZKmGm8Ih6p_YV7EbFl1N0-Z31TUVYAmswuv_E1p7KcyFbwi9bsTNjcizMBdlduUd6m_PoBkdg2GhsiCBIZGTiPDojojXo.oIoEn6aiNqnitl-q1XtncFv5mkF1dRESW12DzyvLi-k&dib_tag=se&keywords=smartphone&qid=1731972175&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-19;4,8;1.198;em até 10x de R$ 112,90 sem juros;112,9;1129,0;Amazon;18/11/2024 20:23:40
"Celular Samsung Galaxy A15 256GB, 8GB RAM, Tela Infinita de 6.5"" Azul Escuro  ";https://www.amazon.com.br/Celular-Samsung-Galaxy-Infinita-Escuro/dp/B0CVSFSZKS/ref=sr_1_20_mod_primary_new?dib=eyJ2IjoiMSJ9.sr_Ma6vakUaO2nWx5dw64gspyNnjgqwKZjkYJgJuLjM5WkDhBaQEUMPhMXQErBQk7j1ob0OjNb_YqTfE3J3S50wsrRF2QQ_gGVfq0eu13m6wkYlBbDI71jNCQxVHgEuihjv7fWdDYGCJSMk3KQls3aShfHlgAYf3sWepQ_HX6YR-Qg0MUq-21wHt02Vzwhdxf6vO-3W8sSpswMZKmGm8Ih6p_YV7EbFl1N0-Z31TUVYAmswuv_E1p7KcyFbwi9bsTNjcizMBdlduUd6m_PoBkdg2GhsiCBIZGTiPDojojXo.oIoEn6aiNqnitl-q1XtncFv5mkF1dRESW12DzyvLi-k&dib_tag=se&keywords=smartphone&qid=1731972175&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-20;4,7;49;em até 10x de R$ 105,90 sem juros;105,9;1059,0;Amazon;18/11/2024 20:23:40
Smartphone Motorola Moto G54 5G 256Gb 8Gb Ram Grafite  ;https://www.amazon.com.br/Smartphone-Motorola-Moto-256Gb-Grafite/dp/B00JWSY1M4/ref=sr_1_21?dib=eyJ2IjoiMSJ9.sr_Ma6vakUaO2nWx5dw64gspyNnjgqwKZjkYJgJuLjM5WkDhBaQEUMPhMXQErBQk7j1ob0OjNb_YqTfE3J3S50wsrRF2QQ_gGVfq0eu13m6wkYlBbDI71jNCQxVHgEuihjv7fWdDYGCJSMk3KQls3aShfHlgAYf3sWepQ_HX6YR-Qg0MUq-21wHt02Vzwhdxf6vO-3W8sSpswMZKmGm8Ih6p_YV7EbFl1N0-Z31TUVYAmswuv_E1p7KcyFbwi9bsTNjcizMBdlduUd6m_PoBkdg2GhsiCBIZGTiPDojojXo.oIoEn6aiNqnitl-q1XtncFv5mkF1dRESW12DzyvLi-k&dib_tag=se&keywords=smartphone&qid=1731972175&sr=8-21&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147;4,6;107;em até 10x de R$ 119,40 sem juros;119,4;1194,0;Amazon;18/11/2024 20:23:40
Smartphone Samsung Galaxy A15 5G 256GB - Azul Escuro  ;https://www.amazon.com.br/Smartphone-Samsung-Galaxy-A15-256GB/dp/B0CRWTTFS7/ref=cs_sr_dp_1?dib=eyJ2IjoiMSJ9.sr_Ma6vakUaO2nWx5dw64gspyNnjgqwKZjkYJgJuLjM5WkDhBaQEUMPhMXQErBQk7j1ob0OjNb_YqTfE3J3S50wsrRF2QQ_gGVfq0eu13m6wkYlBbDI71jNCQxVHgEuihjv7fWdDYGCJSMk3KQls3aShfHlgAYf3sWepQ_HX6YR-Qg0MUq-21wHt02Vzwhdxf6vO-3W8sSpswMZKmGm8Ih6p_YV7EbFl1N0-Z31TUVYAmswuv_E1p7KcyFbwi9bsTNjcizMBdlduUd6m_PoBkdg2GhsiCBIZGTiPDojojXo.oIoEn6aiNqnitl-q1XtncFv5mkF1dRESW12DzyvLi-k&dib_tag=se&keywords=smartphone&qid=1731972175&sr=8-22&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147;4,7;1.175;em até 10x de R$ 106,70 sem juros;106,7;1067,0;Amazon;18/11/2024 20:23:40
Smartphone Xiaomi Redmi Note 13 Pro 5G 8GB+256GB Snapdragon 7s Gen 2, Câmera 200MP OIS, Carregamento Turbo 67W, 120Hz, AMOLED, NFC... (Preto)  ;https://www.amazon.com.br/Smartphone-Xiaomi-Snapdragon-C%C3%A2mera-Carregamento/dp/B0CSFVKV5S/ref=sr_1_23?dib=eyJ2IjoiMSJ9.sr_Ma6vakUaO2nWx5dw64gspyNnjgqwKZjkYJgJuLjM5WkDhBaQEUMPhMXQErBQk7j1ob0OjNb_YqTfE3J3S50wsrRF2QQ_gGVfq0eu13m6wkYlBbDI71jNCQxVHgEuihjv7fWdDYGCJSMk3KQls3aShfHlgAYf3sWepQ_HX6YR-Qg0MUq-21wHt02Vzwhdxf6vO-3W8sSpswMZKmGm8Ih6p_YV7EbFl1N0-Z31TUVYAmswuv_E1p7KcyFbwi9bsTNjcizMBdlduUd6m_PoBkdg2GhsiCBIZGTiPDojojXo.oIoEn6aiNqnitl-q1XtncFv5mkF1dRESW12DzyvLi-k&dib_tag=se&keywords=smartphone&qid=1731972175&sr=8-23&ufe=app_do%3Aamzn1.fos.a492fd4a-f54d-4e8d-8c31-35e0a04ce61e;4,8;2.800;em até 12x de R$ 178,26 com juros;178,26;1910,0;Amazon;18/11/2024 20:23:40
